315,2,2,1,0,2,1,1,0,1
316,66,2,1,0,2,1,1,1,1
317,64,2,1,0,1,0,0,0,1
318,50,2,1,1,1,0,1,0,1
319,14,2,1,0,2,1,1,1,1
320,9,2,1,0,1,1,1,0,1
321,57,2,1,0,1,1,0,0,1
322,4,2,1,0,1,1,1,1,1
323,13,2,1,1,1,1,1,1,1
324,51,2,1,0,1,0,1,0,1
325,1,2,0,1,1,0,0,0,1
326,5,2,1,0,1,1,1,0,1
327,10,2,1,1,1,1,1,0,1
328,52,2,1,0,2,1,1,1,1
329,17,2,1,0,1,1,1,0,0
330,38,2,1,0,1,1,1,0,1
331,65,2,1,0,1,0,1,0,1
332,36,2,1,1,1,0,1,0,1
333,31,2,1,0,2,1,1,1,1
334,16,2,1,0,2,1,1,0,1
335,63,2,1,0,0,0,0,0,1
336,62,2,1,1,2,1,1,0,1
337,40,2,1,1,1,0,1,0,1
338,27,2,1,0,0,0,0,0,0
339,20,2,1,1,2,1,1,1,1
340,37,2,1,0,1,1,1,1,1
341,69,2,1,0,2,1,1,1,1
342,14,2,1,0,1,0,1,0,1
343,21,2,1,1,1,1,1,0,1
344,52,2,1,0,2,1,1,1,1
345,29,2,1,0,2,1,1,1,1
346,16,2,1,0,2,1,1,0,1
347,28,2,1,0,2,1,1,0,1
348,33,2,1,0,1,0,1,0,1
349,1,2,1,0,1,0,1,1,1
350,69,2,1,0,2,1,1,1,1
351,72,2,1,0,1,0,1,1,1
352,5,2,1,0,0,0,0,0,0
353,10,2,1,1,2,1,2,1,1
354,36,2,1,0,1,0,1,0,1
355,20,2,1,0,2,1,1,1,1
356,8,2,1,1,2,1,1,0,1
357,49,2,1,1,2,1,1,1,1
358,37,2,1,0,1,1,1,1,1
359,63,2,1,0,1,0,0,1,1
360,31,2,1,0,1,0,1,1,1
361,23,2,1,0,0,0,0,0,1
362,2,2,1,1,2,1,1,1,1
363,71,2,1,0,0,0,1,0,0
364,55,2,1,0,1,1,1,0,1
365,50,2,1,1,1,0,1,1,1
366,64,2,1,1,1,1,1,0,1
367,60,2,1,0,1,0,1,1,1
368,62,2,1,0,2,1,1,0,1
369,41,2,1,0,1,0,1,0,1
370,68,2,1,1,1,1,1,1,1
371,67,2,1,1,1,1,1,0,1
372,32,5,1,1,1,0,0,0,1
373,41,5,1,0,2,1,1,0,1
374,49,5,1,1,1,1,1,0,1
375,2,5,1,0,1,1,1,0,1
376,64,5,1,1,1,0,0,0,1
377,42,5,1,0,1,0,0,0,1
378,15,5,1,1,0,0,0,0,1
379,21,5,1,0,1,0,0,0,1
380,43,5,1,0,2,1,0,0,2
381,11,5,1,0,1,1,0,0,1
382,40,5,1,0,1,0,0,0,1
383,37,5,1,0,1,1,1,0,0
384,34,5,1,1,1,1,1,0,1
385,31,5,1,0,1,0,1,0,1
386,66,5,1,0,2,1,1,1,1
387,39,5,1,0,0,1,0,0,1
388,62,5,1,0,1,1,0,0,1
389,17,5,1,0,1,0,1,0,1
390,36,5,1,0,1,0,1,0,1
391,38,5,1,0,1,0,1,0,1
392,9,5,1,0,1,0,1,0,1
393,33,5,1,1,1,1,0,0,1
394,5,5,1,0,1,1,1,0,1
395,35,5,1,0,2,1,1,1,2
396,52,5,1,0,1,1,1,0,1
397,55,5,1,1,1,1,0,1,1
398,8,5,1,1,1,1,1,0,1
399,29,5,1,0,2,1,1,1,2
400,12,5,1,1,1,0,1,0,1
401,14,5,1,1,1,1,1,0,1
402,51,5,1,0,1,0,0,0,2
403,18,5,1,0,1,1,1,0,1
404,45,5,1,1,1,1,1,0,1
405,70,5,1,1,1,1,1,1,1
406,65,5,1,1,1,1,1,0,1
407,50,5,1,0,0,1,1,1,1
408,53,5,1,0,2,1,1,1,1
409,57,5,1,0,1,0,0,0,1
410,20,5,1,0,1,1,1,1,1
411,1,5,1,0,1,1,1,0,2
412,16,4,1,0,1,0,1,0,1
413,17,4,1,0,1,0,1,0,1
414,50,4,1,1,0,0,1,1,1
415,18,4,1,0,1,0,1,0,1
416,7,4,1,0,1,0,0,0,1
417,72,4,1,0,1,0,0,1,1
418,20,4,1,1,1,0,1,0,1
419,29,4,1,1,1,1,1,0,1
420,13,4,0,0,1,0,1,0,1
421,28,4,1,0,0,0,1,0,1
422,31,4,1,1,1,1,1,0,1
423,36,4,1,1,1,0,1,0,1
424,4,4,1,0,1,0,0,1,1
425,40,4,1,0,1,0,1,0,1
426,65,4,1,1,0,0,1,0,1
427,43,4,1,1,1,0,1,0,1
428,61,4,1,0,0,0,1,0,1
429,62,4,1,1,0,0,0,0,1
430,57,4,0,0,0,0,0,0,0
431,5,4,1,0,1,0,1,0,1
432,2,4,1,1,1,1,1,1,1
433,42,4,1,0,1,0,1,1,1
434,41,4,1,1,1,0,0,1,0
435,55,4,1,1,1,0,1,0,0
436,12,4,1,1,1,0,0,0,0
437,9,4,1,0,1,0,1,0,1
438,33,4,1,0,0,0,0,0,1
439,21,4,1,1,1,0,0,0,1
440,19,4,1,0,1,1,1,0,1
441,8,4,1,1,1,1,1,0,1
442,67,4,1,1,1,0,0,0,1
443,32,4,1,1,1,0,1,0,1
444,70,4,1,1,1,0,1,0,1
445,37,4,1,0,2,0,1,1,1
446,49,4,1,0,1,1,1,1,1
447,58,10,1,0,0,0,0,0,0
448,21,10,1,1,1,1,1,0,1
449,29,10,1,0,2,1,1,1,1
450,14,10,1,0,1,1,1,1,1
451,42,10,1,1,1,1,1,0,1
452,28,10,1,0,0,0,0,0,1
453,67,10,1,1,1,1,1,0,1
454,51,10,0,0,0,0,0,0,1
455,32,10,1,0,1,0,1,0,1
456,18,10,1,0,1,0,0,0,1
457,23,10,1,0,0,0,1,0,1
458,70,10,1,0,1,0,1,0,1
459,62,10,1,0,2,1,1,0,1
460,66,10,1,0,1,0,1,0,1
461,34,10,1,0,1,1,1,0,1
462,37,10,1,0,1,1,1,1,1
463,61,10,1,0,1,0,1,0,0
464,11,10,1,0,1,0,1,0,1
465,36,10,1,0,2,1,1,0,1
466,20,10,1,0,1,1,1,0,1
467,55,10,1,0,1,0,0,0,1
468,49,10,1,1,1,1,1,0,1
469,35,10,1,1,1,1,1,1,1
470,43,10,1,0,1,1,1,0,1
471,42,3,0,0,0,0,0,0,1
472,11,3,1,0,1,0,1,0,1
473,35,3,1,1,2,1,1,1,1
474,52,3,1,1,1,1,1,1,2
475,51,3,1,0,1,0,0,0,1
476,20,3,1,0,1,0,0,1,1
477,29,3,1,0,1,1,1,0,0
478,32,3,1,0,1,0,0,0,1
479,34,3,0,1,1,1,0,0,0
480,8,3,1,0,1,0,0,0,1
481,14,3,1,0,1,1,1,0,1
482,65,3,1,1,0,0,0,0,0
483,70,3,0,0,0,1,1,0,1
484,31,3,1,0,1,1,1,1,1
485,64,3,1,0,1,0,1,0,1
486,28,3,1,0,1,0,1,0,1
487,55,3,1,1,1,0,1,0,1
488,5,3,1,1,1,1,0,0,0
489,43,3,1,1,1,0,1,0,1
490,30,3,1,0,2,0,1,0,1
491,2,3,1,0,1,1,1,0,1
492,37,3,1,0,2,0,1,1,1
493,66,3,1,0,0,1,1,1,0
494,62,3,1,0,0,0,0,0,1
495,39,3,1,0,0,0,0,0,0
496,49,3,1,0,2,1,1,1,1
497,10,4,1,1,1,0,1,1,1
498,27,4,1,1,0,0,1,0,1
499,36,4,1,0,1,0,1,0,1
500,28,4,1,0,1,0,1,0,1
501,6,4,1,0,1,0,0,0,1
502,41,4,1,0,1,1,1,0,1
503,9,4,1,0,1,1,1,0,1
504,57,4,1,0,1,1,1,0,1
